asn;country
28649;Brazil
29149;Israel
28669;Brazil
28638;Brazil
28250;Brazil
28310;Brazil
28260;Brazil
28266;Brazil
28267;Brazil
28279;Brazil
28283;Brazil
28300;Brazil
28307;Brazil
28610;Brazil
28397;Mexico
28398;Mexico
28409;Mexico
28424;Mexico
28428;Mexico
28436;Mexico
28541;Mexico
28590;Brazil
28598;Brazil
8850;Russian Federation
8217;Italy
1111;Austria
409;United States
337;United States
357;United States
362;United States
366;United States
3351;Russian Federation
3279;Ukraine
2510;Australia
2831;Sweden
3168;Russian Federation
3229;Czech Republic
14651;Canada
12455;Kenya
15964;Cameroon
15364;Spain
9697;South Korea
9698;South Korea
9712;South Korea
9765;South Korea
9781;South Korea
9842;South Korea
9845;South Korea
9950;South Korea
9976;South Korea
10036;South Korea
10054;South Korea
10164;South Korea
9617;Japan
9597;Japan
9595;Japan
9131;Ukraine
12341;Russian Federation
35176;Bulgaria
58007;Russian Federation
58065;Sweden
58098;Hungary
58199;Ukraine
58223;United Kingdom
57992;Romania
57910;Spain
57901;Russian Federation
57432;Russian Federation
56843;Serbia
56903;Russian Federation
56926;Slovakia
56932;Ukraine
57122;Poland
57134;Macedonia
57192;Belarus
57233;Russian Federation
57259;Israel
57449;Russian Federation
57877;Spain
57488;Poland
57493;Ukraine
57541;Russian Federation
57689;Saudi Arabia
57760;Czech Republic
57776;Moldova
57795;Netherlands
57871;Russian Federation
52936;Brazil
60134;Spain
60203;Spain
60214;Ireland
60245;Russian Federation
60260;Italy
60275;Czech Republic
60372;Lebanon
60528;Poland
60530;Italy
60535;Russian Federation
60645;Poland
60706;Italy
60784;Bulgaria
60976;Iran
61000;Italy
61127;Latvia
61204;Romania
61568;Brazil
60110;Ireland
60108;Russian Federation
59862;Italy
59816;United Kingdom
59404;Russian Federation
59440;Russian Federation
59478;Ukraine
59504;Russian Federation
59517;Russian Federation
59572;Poland
59573;Iran
56794;Russian Federation
56720;Russian Federation
56703;Iran
56674;Russian Federation
53153;Russian Federation
53156;Brazil
53170;Brazil
53171;Brazil
53172;Brazil
53184;Brazil
53194;Brazil
53195;Brazil
53199;Brazil
53202;Brazil
53205;Brazil
53208;Brazil
53231;Brazil
53232;Brazil
53238;Brazil
53245;Brazil
53246;Brazil
53147;Brazil
53127;Brazil
53024;Brazil
52964;Brazil
52973;Brazil
52974;Brazil
52991;Brazil
53005;Brazil
53009;Brazil
53013;Brazil
53019;Brazil
53037;Brazil
53120;Brazil
53047;Brazil
53048;Brazil
53049;Brazil
53050;Brazil
53065;Brazil
53066;Brazil
53071;Brazil
53080;Brazil
53113;Brazil
56376;Italy
56399;Ukraine
56405;Russian Federation
56409;Russian Federation
56449;Poland
56545;Russian Federation
56566;Czech Republic
56592;Russian Federation
55379;Japan
61579;Brazil
61582;Brazil
61633;Brazil
61638;Brazil
62091;Ukraine
62159;Czech Republic
62178;Czech Republic
62343;Romania
62386;Bulgaria
62040;Russian Federation
61945;Brazil
61929;Brazil
61768;Brazil
61666;Brazil
61678;Brazil
61681;Brazil
61687;Brazil
61711;Brazil
61714;Brazil
61724;Brazil
61737;Brazil
61745;Brazil
61782;Brazil
61913;Brazil
61792;Brazil
61794;Brazil
61810;Brazil
61838;Brazil
61844;Brazil
61884;Brazil
61888;Brazil
61897;Brazil
131921;Japan
131932;Japan
131159;Japan
52941;Brazil
52932;Brazil
35215;Poland
41364;Italy
41557;Macedonia
41587;Germany
41659;Saudi Arabia
41701;Finland
41733;Russian Federation
41757;Russian Federation
41876;Spain
41897;Serbia
41949;Norway
42000;Czech Republic
42155;Switzerland
42248;Bulgaria
42298;Qatar
42398;Bulgaria
42546;Ukraine
42560;Bosnia and Herzegovina
42652;Germany
42664;Ukraine
41330;Russian Federation
41088;Czech Republic
39819;Kyrgyzstan
39435;Russian Federation
39501;Iran
39543;Romania
39574;Slovakia
39591;Netherlands
39611;Albania
39714;Kyrgyzstan
39785;Russian Federation
39812;Russian Federation
39824;Russian Federation
39829;Romania
42769;Saudi Arabia
42910;Turkey
42934;Romania
44647;Slovenia
44724;Russian Federation
44747;Italy
44787;Italy
44798;Ukraine
44836;Russian Federation
44882;Russian Federation
44956;Russian Federation
45047;Germany
45365;South Korea
45374;South Korea
44631;Slovakia
44549;Slovenia
44495;Ukraine
43843;Italy
42993;Montenegro
43139;Ukraine
43201;Russian Federation
43207;United Kingdom
43242;Turkey
43343;Iran
43451;Slovakia
43824;Lebanon
43888;Poland
44362;Russian Federation
43922;Sweden
43957;Austria
44001;Slovakia
44100;Bulgaria
44175;Poland
44240;Ukraine
44246;Lithuania
44265;Russian Federation
44280;Spain
39402;Lebanon
39287;Finland
35420;Czech Republic
35585;Poland
35778;Poland
38690;South Korea
38700;South Korea
39014;Poland
39121;Russian Federation
37918;Japan
38091;South Korea
38097;South Korea
38103;South Korea
50480;Ukraine
51538;Russian Federation
51547;Russian Federation
51561;United Kingdom
51596;Russian Federation
51659;Russian Federation
51763;Latvia
51790;Slovenia
51815;Sweden
51855;Bulgaria
51878;Kazakhstan
51933;France
51987;Bulgaria
52029;Czech Republic
52043;Russian Federation
52145;Palestine
52168;Russian Federation
52271;Argentina
52280;Chile
51507;Russian Federation
51484;Poland
51463;Czech Republic
51052;Serbia
50582;Norway
50624;France
50635;Armenia
50743;United Kingdom
50751;Ukraine
50809;Russian Federation
50818;France
50852;Russian Federation
50939;Romania
51101;Poland
51411;Iran
51112;Georgia
51124;Ukraine
51156;Russian Federation
51200;Russian Federation
51257;France
51263;United Kingdom
51308;Russian Federation
51371;Czech Republic
51372;Russian Federation
52323;Argentina
52361;Argentina
52363;Argentina
52799;Brazil
52688;Brazil
52696;Brazil
52711;Brazil
52719;Brazil
52720;Brazil
52747;Brazil
52769;Brazil
52773;Brazil
52787;Brazil
52827;Brazil
52673;Brazil
52856;Brazil
52859;Brazil
52866;Brazil
52873;Brazil
52874;Brazil
52903;Brazil
52683;Brazil
52661;Brazil
52369;Argentina
52540;Brazil
52397;Argentina
52409;Argentina
52423;Costa Rica
52428;Argentina
52444;Argentina
52447;Argentina
52453;Argentina
52537;Brazil
52660;Brazil
52551;Brazil
52579;Brazil
52589;Brazil
52601;Brazil
52612;Brazil
52624;Brazil
52630;Brazil
52644;Brazil
50549;Russian Federation
50392;Ukraine
50365;Israel
47118;Russian Federation
47144;Russian Federation
47174;Bulgaria
47206;France
47253;Palestine
47262;Iran
47273;Poland
47275;Poland
47403;Ukraine
47524;Turkey
47692;Austria
47702;Ukraine
47720;Ireland
47794;Saudi Arabia
47849;Bulgaria
47868;Czech Republic
47902;Italy
48031;Ukraine
48081;Ukraine
48147;Iran
48219;Russian Federation
48279;Ukraine
50083;Belgium
49800;Armenia
49824;Ukraine
49835;Spain
49842;Russian Federation
49849;Bulgaria
49893;Russian Federation
49914;Macedonia
49924;Italy
50057;Iran
50106;Ukraine
49732;Russian Federation
50115;Ukraine
50138;Moldova
50165;Ukraine
50174;Russian Federation
50231;Poland
50232;Romania
50268;Russian Federation
50321;Ukraine
50345;Belarus
49795;Russian Federation
49678;Romania
48293;Russian Federation
49056;Macedonia
48422;Ukraine
48506;Moldova
48882;Ukraine
48910;United Kingdom
48940;Russian Federation
48952;Spain
48957;Ukraine
49040;Bulgaria
49044;Slovakia
49063;Russian Federation
49589;Ukraine
49091;Belarus
49120;Russian Federation
49227;Ukraine
49344;United Kingdom
49348;Russian Federation
49382;Iran
49444;Ukraine
49545;Russian Federation
49558;Russian Federation
